,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2
6017,1.2,15234,7227,7227,0.42281879200000005,0.41176470600000004
6018,1.2,1738,7227,1738,0.428571429,0.375
6019,1.2,16524,10289,10289,0.508038585,0.5412621360000001
6020,1.2,4621,11109,4621,0.545454545,0.586750789
6021,1.2,7227,5635,7227,0.567567568,0.435483871
6022,1.2,7227,13656,7227,0.375,0.23809523800000001
6023,1.2,13656,7227,7227,0.23809523800000001,0.567567568
6024,1.2,5635,13656,5635,0.435483871,0.23809523800000001
6025,1.2,9660,11109,9660,0.613095238,0.586750789
6026,1.2,11810,10151,11810,0.637096774,0.49479166700000005
6027,1.2,5635,9660,9660,0.435483871,0.613095238
6028,1.2,16524,4495,16524,0.508038585,0.4
6029,1.2,3403,2524,2524,0.0,0.617021277
6030,1.2,16524,9660,9660,0.569014085,0.613095238
6031,1.2,16524,10151,10151,0.569014085,0.49479166700000005
6032,1.2,15234,10151,15234,0.42281879200000005,0.49479166700000005
6033,1.2,10289,9660,9660,0.5412621360000001,0.613095238
6034,1.2,11810,15558,15558,0.637096774,0.597325409
6035,1.2,9660,13656,9660,0.613095238,0.23809523800000001
6036,1.2,3373,10289,10289,0.473684211,0.5412621360000001
6037,1.2,1738,3373,1738,0.25,0.473684211
6038,1.2,16524,11810,11810,0.508038585,0.637096774
6039,1.2,10289,16524,16524,0.5412621360000001,0.569014085
6040,1.2,2524,1738,1738,0.4,0.428571429
6041,1.2,15234,15558,15558,0.42281879200000005,0.597325409
6042,1.2,1738,15558,1738,0.428571429,0.597325409
6043,1.2,11810,9660,11810,0.637096774,0.613095238
6044,1.2,11810,9660,11810,0.637096774,0.613095238
6045,1.2,10151,7227,7227,0.49479166700000005,0.6875
6046,1.2,7227,1738,7227,0.567567568,0.428571429
6047,1.2,11109,1738,11109,0.586750789,0.428571429
6048,1.2,5635,13656,13656,0.435483871,0.47552447600000003
6049,1.2,5635,10151,10151,0.435483871,0.49479166700000005
6050,1.2,7227,1738,1738,0.333333333,0.428571429
6051,1.2,2524,1738,2524,1.0,0.428571429
6052,1.2,5635,10151,10151,0.435483871,0.49479166700000005
6053,1.2,7227,13656,7227,0.567567568,0.47552447600000003
6054,1.2,10151,13656,13656,0.49479166700000005,0.23809523800000001
6055,1.2,9660,16524,9660,0.613095238,0.508038585
6056,1.2,16524,9660,9660,0.569014085,0.613095238
6057,1.2,15234,10151,15234,0.42281879200000005,0.49479166700000005
6058,1.2,7227,10151,10151,0.25,0.49479166700000005
6059,1.2,9660,16524,9660,0.613095238,0.508038585
6060,1.2,7227,1738,7227,0.567567568,0.428571429
6061,1.2,9660,7227,7227,0.613095238,0.6875
6062,1.2,7227,1738,7227,0.567567568,0.428571429
6063,1.2,11810,7227,7227,0.637096774,0.567567568
6064,1.2,7227,13656,7227,0.375,0.47552447600000003
6065,1.2,7227,9660,9660,0.41176470600000004,0.613095238
6066,1.2,15234,15558,15234,0.42281879200000005,0.597325409
6067,1.2,16524,9660,9660,0.569014085,0.613095238
6068,1.2,1738,7227,7227,0.25,0.6875
6069,1.2,8606,13656,13656,0.35714285700000004,0.47552447600000003
6070,1.2,8606,9660,9660,0.5471698110000001,0.613095238
6071,1.2,11810,9660,11810,0.637096774,0.613095238
6072,1.2,7227,9660,9660,0.41176470600000004,0.613095238
6073,1.2,15234,8606,8606,0.42281879200000005,0.36842105299999994
6074,1.2,9660,11810,9660,0.613095238,0.637096774
6075,1.2,3403,15558,15558,0.333333333,0.597325409
6076,1.2,7227,15558,7227,0.25,0.0
6077,1.2,13656,16524,16524,0.47552447600000003,0.508038585
6078,1.2,13656,9660,13656,0.47552447600000003,0.613095238
6079,1.2,13656,16524,16524,0.23809523800000001,0.569014085
6080,1.2,7227,10151,7227,0.75,0.49479166700000005
6081,1.2,10289,16524,16524,0.5412621360000001,0.508038585
6082,1.2,15234,10289,15234,0.42281879200000005,0.5412621360000001
6083,1.2,1738,15558,1738,0.428571429,0.597325409
6084,1.2,5635,2524,5635,0.435483871,0.4
6085,1.2,11109,15558,11109,0.586750789,0.597325409
6086,1.2,11810,2625,11810,0.37037037,0.46666666700000003
6087,1.2,15234,10151,10151,0.42281879200000005,0.49479166700000005
6088,1.2,8606,10289,10289,0.5471698110000001,0.5412621360000001
6089,1.2,11109,15234,15234,0.586750789,0.42281879200000005
6090,1.2,16524,10289,10289,0.569014085,0.5412621360000001
6091,1.2,10289,16524,16524,0.5412621360000001,0.508038585
6092,1.2,10289,16524,10289,0.5412621360000001,0.484848485
6093,1.2,16524,13656,16524,0.569014085,0.47552447600000003
6094,1.2,7227,10151,10151,0.6875,0.49479166700000005
6095,1.2,13656,5635,5635,0.23809523800000001,0.435483871
6096,1.2,10289,13656,13656,0.5412621360000001,0.47552447600000003
6097,1.2,15234,10151,10151,0.42281879200000005,0.49479166700000005
6098,1.2,9660,15234,9660,0.613095238,0.42281879200000005
6099,1.2,15234,15558,15558,0.42281879200000005,0.597325409
