,Username,Played,Won,tag_bg,Games,count_character_has_won,count_character_has_been_played,accepting_games,skill_points,last_logged_in,badge_progressions,elo,lost_against,current_season_skill,win_rate,Knight_played,Archer_played,Rogue_played,Healer_played,Wizard_played,Barbarian_played,Monk_played,Gunner_played,Knight_win,Archer_win,Rogue_win,Healer_win,Wizard_win,Barbarian_win,Monk_win,Gunner_win
20,asdf,27,16,geometric,"['none', 'none', 'none', 'none', 'none']","{'K': 15, 'A': 0, 'R': 4, 'H': 1, 'W': 0, 'B': 1, 'M': 10, 'G': 1}","{'K': 26, 'A': 2, 'R': 7, 'H': 3, 'W': 1, 'B': 1, 'M': 13, 'G': 1}",True,620,2020-04-17 10:38:01.330000,"[15, 15, 2, 0, 4, 4, 3, 1, 0, 0, 1, 1, 2, 10, 0, 1, 109, 0, 0, 620, 1576, 448, 7, 0, 88, 1, 27, 26, 7, 1, 16, 7, 1, 13, 3, 3, 5, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1219.921578914785,"['bladestoe', 'versatile', 'cptKav', 'pool27', 'cptKav', 'cptKav']",0,59.25925925925925,26,2,7,3,1,1,13,1,15,0,4,1,0,1,10,1
21,Ezzey,152,90,cosmic,"['none', 'none', None, 'none', 'none']","{'K': 42, 'A': 38, 'R': 45, 'H': 0, 'W': 2, 'B': 2, 'M': 0, 'G': 51}","{'K': 65, 'A': 56, 'R': 80, 'H': 1, 'W': 2, 'B': 4, 'M': 1, 'G': 91}",True,3710,2020-06-11 08:00:39.567000,"[7, 42, 56, 38, 80, 45, 0, 0, 1, 2, 3, 2, 0, 0, 3, 51, 326, 0, 0, 3710, 0, 0, 8, 0, 94, 1, 150, 91, 22, 7, 90, 21, 4, 125, 28, 2, 28, 1, 4, 1, 23, 3610, 1706, 3172, 0, 0, 0, 0, 0, 0]",3030.2470770943196,"['musicalSpear', 'BetterThanU', 'Significance', 'alcam456', 'LLilliputian', 'Significance', 'ECDr', 'alcam456', 'Jhannah', 'Andy', 'Tharry0', 'Jambo9000', 'cptKav', 'Jambo9000', 'probablytom', 'basta', 'aaaa', 'ECDr', 'Beth', 'Frp97', 'creilly1', 'Luca1802', 'Ellen', 'l17r', 'basta', 'cptKav', 'Frp97', 'chins', 'Deanerbeck', 'Nari', 'Deanerbeck', 'l17r']",3610,59.210526315789465,65,56,80,1,2,4,1,91,42,38,45,0,2,2,0,51
22,Frp97,737,436,blue,"[None, None, None, None, None]","{'K': 4, 'A': 0, 'R': 10, 'H': 2, 'W': 11, 'B': 421, 'M': 11, 'G': 413}","{'K': 8, 'A': 2, 'R': 16, 'H': 8, 'W': 26, 'B': 700, 'M': 19, 'G': 683}",True,15558,2020-09-24 12:22:33.903000,"[3, 4, 1, 0, 10, 10, 6, 2, 19, 11, 605, 421, 9, 11, 78, 413, 625, 0, 1, 15558, 2459, 2110, 11, 1, 99, 2, 731, 700, 45, 82, 436, 124, 8, 113, 345, 53, 224, 1, 5, 0, 47, 12358, 795, 10984, 0, 0, 0, 0, 0, 0]",11600.390763446601,"['asdf', 'LewisDyer', 'totem37', 'totem37', 'umachan', 'georgedo', 'kubajj', 'deathseeker', 'sophie', 'DoctorW', 'basta', 'pool27', 'basta', 'deathseeker', 'apropos0', 'georgedo', 'basta', 'sstein', 'basta', 'sstein', 'basta', 'walshy1066', 'walshy1066', 'georgedo', 'walshy1066', 'basta', 'Jhannah', 'ECDr', 'walshy1066', 'tickler', 'bobabell', 'bobabell', 'sstein', 'apropos0', 'apropos0', 'V4ssilios', 'alcam456', 'sophie', 'basta', 'basta', 'ECDr', 'jaymoney', 'basta', 'Nari', 'ECDr', 'apropos0', 'aaaa', 'aaaa', 'ECDr', 'Ellen', 'BerrySauce', 'Ellen', 'Ellen', 'Jules', 'Ellen', 'aaaa', 'BerrySauce', 'BerrySauce', 'ECDr', 'BerrySauce', 'ECDr', 'Ellen', 'DX13', 'Luca1802', 'vinl', 'DX13', 'probablytom', 'timri', 'timri', 'timri', 'Tharry0']",12358,59.158751696065124,8,2,16,8,26,700,19,683,4,0,10,2,11,421,11,413
23,jaymoney,44,26,cosmic,"['none', 'none', 'none', 'none', 'none']","{'K': 5, 'A': 6, 'R': 5, 'H': 10, 'W': 9, 'B': 1, 'M': 3, 'G': 13}","{'K': 6, 'A': 9, 'R': 7, 'H': 20, 'W': 17, 'B': 2, 'M': 4, 'G': 21}",True,1329,2020-05-26 15:50:49.515000,"[0, 5, 0, 6, 6, 5, 17, 10, 17, 9, 1, 1, 0, 3, 2, 13, 90, 1, 1, 1299, 0, 0, 5, 1, 87, 2, 43, 21, 7, 1, 26, 1, 0, 52, 1, 33, 5, 1, 4, 0, 1, 1255, 1973, 638, 0, 0, 0, 0, 0, 0]",1329.3137384321112,"['ECDr', 'Deanerbeck', 'Ezzey', 'probablytom', 'alan', 'Ellen', 'Michael', 'creilly1', 'DavetheRave', 'eggface', 'Jhannah', 'creilly1']",1285,59.09090909090909,6,9,7,20,17,2,4,21,5,6,5,10,9,1,3,13
24,Lotua,24,14,blue,"['none', None, None, None, None]","{'K': 1, 'A': 5, 'R': 4, 'H': 4, 'W': 7, 'B': 0, 'M': 3, 'G': 4}","{'K': 4, 'A': 9, 'R': 6, 'H': 9, 'W': 8, 'B': 1, 'M': 4, 'G': 5}",True,1015,2020-09-24 12:04:32.831000,"[2, 1, 6, 5, 5, 4, 6, 4, 3, 7, 0, 0, 0, 3, 1, 4, 13, 0, 3, 1015, 0, 0, 5, 5, 82, 1, 23, 9, 4, 1, 14, 7, 0, 24, 1, 0, 5, 1, 3, 0, 5, 961, 10925, 0, 0, 0, 0, 0, 0, 0]",1286.5610773569963,"['timri', 'timri', 'Frp97', 'Deanerbeck']",961,58.333333333333336,4,9,6,9,8,1,4,5,1,5,4,4,7,0,3,4
25,cats,19,11,orange,"['none', 'none', 'none', 'none', 'none']","{'K': 11, 'A': 2, 'R': 3, 'H': 1, 'W': 2, 'B': 1, 'M': 1, 'G': 1}","{'K': 19, 'A': 4, 'R': 5, 'H': 1, 'W': 2, 'B': 3, 'M': 2, 'G': 2}",True,533,2020-04-14 07:00:13.671000,"[1, 11, 4, 2, 5, 3, 0, 1, 2, 2, 3, 1, 2, 1, 2, 1, 50, 0, 0, 546, 242, 402, 8, 0, 87, 1, 19, 19, 0, 0, 11, 1, 1, 19, 0, 26, 2, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1212.0797870442193,"['alan', 'l17r', 'astrospanner', 'Frp97', 'dalinar', 'astrospanner']",0,57.89473684210527,19,4,5,1,2,3,2,2,11,2,3,1,2,1,1,1
26,Paulverise,21,12,nature,"['none', 'none', 'none', 'none', 'none']","{'K': 2, 'A': 1, 'R': 2, 'H': 1, 'W': 0, 'B': 7, 'M': 10, 'G': 1}","{'K': 3, 'A': 3, 'R': 6, 'H': 3, 'W': 1, 'B': 12, 'M': 13, 'G': 1}",True,440,2020-04-10 10:05:39.923000,"[1, 2, 2, 1, 4, 2, 3, 1, 0, 0, 10, 7, 0, 10, 1, 1, 101, 0, 0, 440, 86, 68, 4, 1, 82, 1, 21, 13, 6, 0, 12, 1, 0, 22, 0, 0, 4, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1209.413800148373,"['Etess', 'Etess', 'Etess', 'JoeExotic', 'apropos0']",0,57.14285714285714,3,3,6,3,1,12,13,1,2,1,2,1,0,7,10,1
27,Kush,7,4,orange,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 1, 'R': 4, 'H': 3, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 1, 'R': 7, 'H': 6, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,207,2020-05-04 14:53:33.345000,"[0, 0, 0, 1, 1, 4, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 1, 207, 4125, 0, 2, 1, 61, 0, 7, 7, 2, 0, 4, 0, 0, 15, 0, 0, 0, 0, 1, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0]",1205.739965999217,"['apropos0', 'cptKav', 'cptKav']",112,57.14285714285714,0,1,7,6,0,0,0,0,0,1,4,3,0,0,0,0
28,sstein,333,189,oddysey,"['none', 'none', 'none', 'none', None]","{'K': 183, 'A': 118, 'R': 9, 'H': 1, 'W': 1, 'B': 62, 'M': 0, 'G': 4}","{'K': 314, 'A': 199, 'R': 21, 'H': 2, 'W': 4, 'B': 111, 'M': 2, 'G': 9}",True,6337,2020-05-30 21:56:05.423000,"[110, 183, 190, 118, 18, 9, 1, 1, 1, 1, 3, 62, 1, 0, 7, 4, 755, 0, 1, 6347, 3042, 1799, 7, 0, 98, 2, 331, 314, 24, 19, 189, 36, 9, 284, 31, 44, 82, 1, 5, 0, 53, 3747, 557, 3215, 0, 0, 0, 0, 0, 0]",4599.350110569353,"['cwallis', 'Marv_911', 'cwallis', 'Sabotage', 'cwallis', 'kubajj', 'Manakish', 'creilly2', 'Manakish', 'Manakish', 'Manakish', 'Manakish', 'norgart', 'DoctorW', 'rocinante', 'rocinante', 'rocinante', 'tanini', 'Sidthesloth', 'DavetheRave', 'Sidthesloth', 'DavetheRave', 'Fbomb', 'Fbomb', 'creilly1', 'deathseeker', 'creilly1', 'georgedo', 'georgedo', 'creilly1', 'Jhannah', 'Nari', 'musicalSpear', 'musicalSpear', 'adamski5298', 'Apollogize', 'Ellen', 'Vinc0310', 'walshy1066', 'georgedo', 'apropos0', 'apropos0', 'apropos0', 'MhairiM', 'MhairiM', 'MhairiM', 'aaaa', 'apropos0', 'Jambo9000', 'creilly1', 'creilly1', 'DavetheRave', 'alcam456', 'georgedo', 'Ezzey', 'Ezzey', 'Luca1802', 'Ezzey', 'Nari', 'aaaa']",3737,56.75675675675676,314,199,21,2,4,111,2,9,183,118,9,1,1,62,0,4
29,Andy,90,51,oddysey,"['none', 'none', 'waiting', 'none', 'none']","{'K': 1, 'A': 10, 'R': 16, 'H': 21, 'W': 4, 'B': 27, 'M': 3, 'G': 20}","{'K': 4, 'A': 17, 'R': 26, 'H': 36, 'W': 11, 'B': 49, 'M': 7, 'G': 30}",True,2240,2020-06-12 18:43:50.360000,"[1, 1, 4, 10, 23, 16, 35, 21, 4, 4, 6, 27, 4, 3, 13, 20, 319, 3, 1, 2245, 0, 0, 6, 0, 91, 4, 90, 49, 11, 3, 51, 4, 1, 99, 0, 21, 12, 1, 6, 1, 2, 2245, 2280, 1313, 0, 0, 0, 0, 0, 0]",2179.9652290436593,"['Master4444', 'Fudgecakes', 'aaaa', 'Deanerbeck', 'Jhannah', 'creilly1', 'Baepsae', 'georgedo', 'Frp97', 'probablytom', 'timri', 'Apollogize', 'cptKav', 'eggface', 'sstein', 'eggface', 'georgedo', 'sstein', 'Apollogize', 'sstein', 'cptKav', 'eggface', 'timri', 'timri', 'DavetheRave', 'elennon', 'Frp97']",2240,56.666666666666664,4,17,26,36,11,49,7,30,1,10,16,21,4,27,3,20
