,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2,strat_1,strat_2,strat_1_onehot,strat_2_onehot,winner
5302,1.2,980.9196429,902.3966245,980.9196429,0.466666667,0.53125,0.083128079,0.780788177,1,25,1
5303,1.2,995.1,902.3966245,995.1,0.722222222,0.53125,0.756157635,0.780788177,16,25,1
5304,1.2,973.4871795,827.5,973.4871795,0.586750789,0.323529412,0.980295567,0.083128079,7,1,1
5305,1.2,968.095122,980.9196429,968.095122,0.473684211,0.142857143,0.794334975,0.116995074,5,12,1
5306,1.2,829.2739044,931.742268,829.2739044,0.508038585,0.7,0.756157635,0.756157635,16,16,1
5307,1.2,952.5,796.3225806,952.5,0.6,0.485436893,0.293719212,0.794334975,9,5,1
5308,1.2,827.5,902.3966245,902.3966245,0.333333333,0.53125,0.163793103,0.780788177,23,25,2
5309,1.2,626.9569536,1012.067843,1012.067843,0.422818792,0.597325409,0.794334975,0.980295567,5,7,2
5310,1.2,1002.710526,950.634981,950.634981,0.569620253,0.44,0.756157635,0.794334975,16,5,2
5311,1.2,1012.067843,827.5,827.5,0.597325409,0.323529412,0.980295567,0.083128079,7,1,2
5312,1.2,626.9569536,827.5,626.9569536,0.422818792,0.323529412,0.794334975,0.083128079,5,1,1
5313,1.2,796.3225806,902.3966245,902.3966245,0.5,0.53125,0.110837438,0.780788177,6,25,2
5314,1.2,902.3966245,796.3225806,902.3966245,0.53125,0.4,0.780788177,0.756157635,25,16,1
5315,1.2,982.7297297,973.4871795,982.7297297,0.594736842,0.586750789,0.310344828,0.980295567,3,7,1
5316,1.2,826.9859438,954.2091503,954.2091503,0.470588235,0.333333333,0.780788177,0.110837438,25,6,2
5317,1.2,950.634981,980.9196429,950.634981,0.44,0.466666667,0.794334975,0.083128079,5,1,1
5318,1.2,980.9196429,626.9569536,980.9196429,0.375,0.422818792,1,0.794334975,17,5,1
5319,1.2,626.9569536,826.9859438,626.9569536,0.422818792,0.681818182,0.794334975,0.09544335,5,8,1
5320,1.2,944.4407407,1002.710526,944.4407407,0.4,0.569620253,0.153325123,0.756157635,26,16,1
5321,1.2,871.6798246,951.6043165,871.6798246,0.666666667,0,0.310344828,0.155788177,3,0,1
5322,1.2,1002.710526,1012.067843,1002.710526,0.569620253,0.597325409,0.756157635,0.980295567,16,7,1
5323,1.2,796.3225806,846.2139037,846.2139037,0.238095238,0.541262136,0.099137931,1,20,17,2
5324,1.2,826.9859438,796.3225806,796.3225806,0.444444444,0.485436893,0.756157635,0.794334975,16,5,2
5325,1.2,944.4407407,951.6043165,951.6043165,0,0.25,0.310344828,1,3,17,2
5326,1.2,944.4407407,829.2739044,944.4407407,0.733333333,0.508038585,0.168719212,0.756157635,10,16,1
5327,1.2,626.9569536,827.5,626.9569536,0.422818792,0.323529412,0.794334975,0.083128079,5,1,1
5328,1.2,973.4871795,827.5,973.4871795,0.586750789,0.323529412,0.980295567,0.083128079,7,1,1
5329,1.2,626.9569536,982.7297297,626.9569536,0.422818792,0.594736842,0.794334975,0.310344828,5,3,1
