player,strat,wins,total_matches,winrate
l17r,HK,1,2,0.5
l17r,KR,0,1,0
l17r,MR,0,3,0
meow,AB,0,1,0
meow,AR,0,1,0
meow,BG,13,20,0.65
meow,BM,1,2,0.5
meow,GM,2,3,0.666666667
meow,HK,1,1,1
meow,HR,0,2,0
meow,HW,0,1,0
meow,MW,0,1,0
mosam1311,AK,1,1,1
mosam1311,AW,0,1,0
mosam1311,BH,1,1,1
mosam1311,GM,1,1,1
mosam1311,HM,1,2,0.5
mosam1311,HR,0,2,0
mosam1311,KR,1,1,1
mosam1311,KW,0,1,0
mumdoc,AR,1,1,1
mumdoc,HR,0,1,0
musicalSpear,AB,0,1,0
musicalSpear,AK,2,4,0.5
musicalSpear,AR,3,7,0.428571429
musicalSpear,HR,2,3,0.666666667
musicalSpear,HW,2,2,1
musicalSpear,KR,0,2,0
musicalSpear,MR,0,1,0
norgart,AH,2,4,0.5
norgart,AK,1,3,0.333333333
norgart,AR,3,3,1
norgart,AW,0,2,0
norgart,BG,0,2,0
norgart,BH,0,1,0
norgart,BW,1,1,1
norgart,GH,2,4,0.5
norgart,GM,7,9,0.777777778
norgart,GR,3,7,0.428571429
norgart,GW,2,7,0.285714286
norgart,KR,0,2,0
norgart,KW,1,1,1
norgart,MW,1,2,0.5
oxocube,AR,1,1,1
pigeon,AB,1,1,1
pigeon,AH,0,1,0
pigeon,AK,2,2,1
pigeon,AM,1,1,1
pigeon,BM,1,3,0.333333333
pigeon,GM,2,3,0.666666667
pigeon,HK,1,7,0.142857143
pigeon,HR,0,1,0
pigeon,KM,1,1,1
pigeon,KW,0,1,0
pigeon,MR,3,7,0.428571429
pigeon,MW,1,2,0.5
pool27,AH,2,4,0.5
pool27,AK,0,1,0
pool27,AM,0,1,0
pool27,AR,4,6,0.666666667
pool27,AW,0,1,0
pool27,BG,1,1,1
pool27,BH,4,9,0.444444444
pool27,BM,1,3,0.333333333
pool27,GH,1,2,0.5
pool27,GM,3,8,0.375
pool27,GW,10,18,0.555555556
pool27,HM,4,15,0.266666667
pool27,HR,0,1,0
pool27,HW,2,5,0.4
pool27,KM,1,1,1
pool27,MR,10,21,0.476190476
pool27,MW,8,14,0.571428571
pool27,RW,1,4,0.25
probablyrob,AH,0,2,0
probablyrob,AK,0,1,0
probablyrob,AR,0,1,0
probablyrob,BG,1,1,1
probablyrob,BM,0,1,0
probablyrob,BR,1,3,0.333333333
probablyrob,BW,0,3,0
probablyrob,GH,8,12,0.666666667
probablyrob,GR,0,1,0
probablyrob,HR,1,2,0.5
