,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2,strat_1,strat_2,strat_1_onehot,strat_2_onehot,winner
4009,1.2,5885,4621,931.742268,0.62962963,0.363636364,0.163793103,0.310344828,23,3,1
4010,1.2,16524,9660,829.2739044,0.508038585,0.545454545,0.756157635,0.980295567,16,7,1
4011,1.2,4621,8524,954.2091503,0.25,0.487179487,0.166256158,0.756157635,2,16,1
4012,1.2,10289,8606,846.2139037,0.541262136,0.352941176,1,0.153325123,17,26,1
4013,1.2,8524,16524,872.4835165,0.487179487,0.508038585,0.756157635,0.756157635,16,16,1
4014,1.2,6337,8524,872.4835165,0.594736842,0.487179487,0.310344828,0.756157635,3,16,2
4015,1.2,13656,8524,872.4835165,0.404255319,0.487179487,1,0.756157635,17,16,2
4016,1.2,10151,5370,944.4407407,0.494791667,0.666666667,0.980295567,0.16317734,7,18,2
4017,1.2,1908,10151,827.5,0.633333333,0.494791667,0.780788177,0.980295567,25,7,2
4018,1.2,16524,8606,829.2739044,0.508038585,0.547169811,0.756157635,0.155788177,16,0,1
4019,1.2,8606,11109,826.9859438,0.352941176,0.586750789,0.02770936,0.980295567,22,7,1
4020,1.2,9660,10289,902.3966245,0.545454545,0.541262136,0.980295567,1,7,17,1
4021,1.2,5885,10289,931.742268,0.517857143,0.541262136,0.215517241,1,14,17,1
4022,1.2,15558,1908,985.2207792,0.597325409,0.545454545,0.980295567,0.756157635,7,16,2
4023,1.2,9660,6337,982.7297297,0.357142857,0.594736842,1,0.310344828,17,3,2
4024,1.2,10151,16524,829.2739044,0.494791667,0.508038585,0.980295567,0.756157635,7,16,2
4025,1.2,8606,6337,982.7297297,0.547169811,0.594736842,0.155788177,0.310344828,0,3,2
4026,1.2,6337,5885,982.7297297,0.594736842,0.62962963,0.310344828,0.163793103,3,23,1
4027,1.2,13656,5885,931.742268,0.404255319,0.517857143,1,0.215517241,17,14,2
4028,1.2,16524,15234,829.2739044,0.508038585,0.422818792,0.756157635,0.794334975,16,5,1
4029,1.2,8524,10289,872.4835165,0.487179487,0.541262136,0.756157635,1,16,17,1
4030,1.2,3403,1908,985.2207792,0.25,0.633333333,1,0.780788177,17,25,2
